CMDLINE c:\users\simon\filestotals\venv\scripts\python.exe app\routes.py
MEM 3.277344 1605006446.6658
MEM 3.277344 1605006446.7748
MEM 3.277344 1605006446.8845
MEM 3.277344 1605006446.9926
MEM 3.277344 1605006447.1035
MEM 3.277344 1605006447.2114
MEM 3.277344 1605006447.3219
MEM 3.277344 1605006447.4316
MEM 3.277344 1605006447.5415
MEM 3.277344 1605006447.6516
MEM 3.277344 1605006447.7601
MEM 3.277344 1605006447.8697
MEM 3.277344 1605006447.9756
MEM 3.277344 1605006448.0857
MEM 3.277344 1605006448.1935
MEM 3.277344 1605006448.3035
MEM 3.277344 1605006448.4116
MEM 3.277344 1605006448.5226
MEM 3.277344 1605006448.6314
MEM 3.277344 1605006448.7408
MEM 3.277344 1605006448.8487
MEM 3.277344 1605006448.9576
MEM 3.277344 1605006449.0659
MEM 3.277344 1605006449.1746
MEM 3.277344 1605006449.2840
MEM 3.277344 1605006449.3920
MEM 3.277344 1605006449.5026
MEM 3.277344 1605006449.6116
MEM 3.277344 1605006449.7200
MEM 3.277344 1605006449.8284
MEM 3.277344 1605006449.9386
MEM 3.277344 1605006450.0459
MEM 3.277344 1605006450.1540
MEM 3.277344 1605006450.2615
MEM 3.277344 1605006450.3726
MEM 3.277344 1605006450.4801
MEM 3.277344 1605006450.5906
MEM 3.277344 1605006450.6979
MEM 3.277344 1605006450.8095
MEM 3.277344 1605006450.9206
MEM 3.277344 1605006451.0289
MEM 3.277344 1605006451.1368
MEM 3.277344 1605006451.2456
MEM 3.277344 1605006451.3563
MEM 3.277344 1605006451.4636
MEM 3.277344 1605006451.5727
MEM 3.277344 1605006451.6816
MEM 3.277344 1605006451.7926
MEM 3.277344 1605006451.9026
MEM 3.277344 1605006452.0114
MEM 3.277344 1605006452.1206
MEM 3.277344 1605006452.2296
MEM 3.277344 1605006452.3396
MEM 3.277344 1605006452.4486
MEM 3.277344 1605006452.5586
MEM 3.277344 1605006452.6657
MEM 3.277344 1605006452.7758
MEM 3.277344 1605006452.8843
MEM 3.277344 1605006452.9926
MEM 3.277344 1605006453.1006
MEM 3.277344 1605006453.2097
MEM 3.277344 1605006453.3181
MEM 3.277344 1605006453.4265
MEM 3.277344 1605006453.5351
MEM 3.277344 1605006453.6425
MEM 3.277344 1605006453.7508
MEM 3.277344 1605006453.8608
MEM 3.277344 1605006453.9706
MEM 3.277344 1605006454.0792
MEM 3.277344 1605006454.1886
MEM 3.277344 1605006454.2962
MEM 3.277344 1605006454.4050
MEM 3.277344 1605006454.5115
MEM 3.277344 1605006454.6204
MEM 3.277344 1605006454.7290
MEM 3.277344 1605006454.8387
MEM 3.277344 1605006454.9476
MEM 3.277344 1605006455.0582
MEM 3.277344 1605006455.1664
MEM 3.277344 1605006455.2746
MEM 3.277344 1605006455.3811
MEM 3.277344 1605006455.4916
MEM 3.277344 1605006455.6002
MEM 3.277344 1605006455.7097
MEM 3.277344 1605006455.8184
MEM 3.277344 1605006455.9281
MEM 3.277344 1605006456.0365
MEM 3.277344 1605006456.1464
MEM 3.277344 1605006456.2556
MEM 3.277344 1605006456.3658
MEM 3.277344 1605006456.4745
MEM 3.277344 1605006456.5846
